ID ; Возраст ; Тип игры ; Название игры ; Проблема поведения ; Цель ; Краткое описание ; Пошаговая инструкция ; Формат ; Вопросы для обсуждения ; Роль взрослого / как себя вести ; Подготовка / условия для игры ; Источник ; Автор / организация ; Год ;Риски/ограничения;;;
205; 7–9 лет ; Эмоциональная, когнитивная ; Ожидаемое и неожиданное ; Учить различать обычные и необычные события, через эмоцию удивления ; Ребенок придумывает смешные «неожиданные» ситуации и обсуждает, что в них чувствует ; 1. Объясните разницу между ожидаемым и неожиданным. 2. Предложите фразу?шаблон: «Я удивлюсь, если…» 3. По очереди придумывайте варианты («кот заговорит», «учитель придёт в пижаме»). 4. Обсудите, что бы он чувствовал в таких ситуациях. ; Родитель–ребенок, группа ; «Какое твоё “если” самое смешное?», «Что ты чувствуешь, когда происходит что?то неожиданное в реальной жизни?» ;" Не предлагать пугающих сценариев; не использовать игру, чтобы высмеять страхи; поддерживать юмор и фантазию. ";" Спокойное время; можно записывать смешные варианты в тетрадь; ограничить 10–15 фраз за раз. "; Игра про удивление из подборок ЭИ (адаптация) ; Психологи, развивающие центры ; 2021–2025 ; Описание игр на понимание удивления[web:102][web:100];"Не используйте игру, чтобы читать нотации; выводы формулируйте вместе и в мягкой форме";;;
206; 7–9 лет ; Коммуникативная ; Команда спасателей ; Развивать навыки сотрудничества и решения задач в группе ; Дети (или ребёнок с взрослым) придумывают план спасения для разных героев/ситуаций ; 1. Придумайте ситуацию: «Котёнок застрял на дереве», «У мальчика нет друзей в классе», «Кто?то заблудился». 2. Обсудите, что чувствуют герои. 3. Вместе составьте план, как им помочь (3–5 шагов). 4. Можно нарисовать «эмблему» команды спасателей. ; Родитель–ребенок, группа ; «Кому тебе особенно хочется помочь?», «Какие шаги в помощи тебе кажутся самыми важными?» ;" Не осуждать предложения; отделять реальные опасные ситуации от игровых; подчеркивать важность обращения к взрослым. ";" Спокойное обсуждение; бумага для схемы плана; не брать слишком травматичные сюжеты. "; Игры для профилактики трудного поведения и развития эмпатии — адаптация ; Психологи начальной школы ; 2020–2025 ; Сборники игр для класса[web:30][web:71];Если ребёнок затрудняется с ответом, предложите несколько вариантов на выбор, но не подталкивайте к «вашему» варианту;;;
207; 7–9 лет ; Творческая, эмоциональная ; Лента дня ; Помочь ребёнку осмыслить день и заметить разные эмоции ; Ребенок рисует «ленту времени» своего дня, отмечая на ней события и эмоции ; 1. Нарисуйте горизонтальную линию и отметьте утро, день, вечер. 2. Попросите ребёнка добавить важные события (подъём, школа, прогулка, ссора, игра). 3. Для каждого события пусть выберет смайлик/цвет эмоции. 4. Обсудите, каких эмоций было больше и что хотелось бы изменить. ; Родитель–ребенок ; «В каком месте ленты тебе было тяжелее всего?», «Что помогло сделать день лучше?», «Что ты хочешь попробовать изменить завтра?» ;" Не критиковать «много негативного»; использовать как повод к поддержке, а не к нотациям; признавать его переживания. ";" Лучше вечером; бумага и фломастеры; можно вести ленту раз в несколько дней. "; Игры и упражнения для эмоционального развития детей (адаптация идеи «ленты настроения») ; Психологи, педагоги ; 2021–2025 ; Обзоры игр для ЭИ[web:25][web:104];"Важно следить, чтобы игра не превращалась в выяснение, кто прав; оставляйте место для разных точек зрения";;;
208; 7–9 лет ; Подвижная, эмоциональная ; Эмоциональный крокодил ; Развивать способность читать эмоции по позе и мимике ; Ребенок показывает заданные эмоции/ситуации без слов, остальные угадывают ; 1. Напишите на карточках эмоции или короткие ситуации («поссорился с другом», «получил подарок»). 2. Игрок вытягивает карту и показывает сценку молча. 3. Остальные угадывают эмоцию и ситуацию. 4. Обсудите, по каким признакам догадались. ; Семья, группа ; «Какие эмоции угадывать проще всего?», «Что тебе помогло понять, что герой злится/боится/радуется?» ;" Следить, чтобы дети не пародировали друг друга обидно; не усложнять сразу; поддерживать позитивный тон. ";" Достаточно места для пантомимы; набор карточек; можно адаптировать для двоих. "; Классические игры «Крокодил», «Покажи эмоцию» — адаптация под ЭИ ; Психологи, педагоги ; 2022–2025 ; Материалы по играм на мимику и позу[web:12][web:64];Если ребёнок делится чем?то личным, не перебивайте и не спешите давать советы — сначала просто выслушайте;;;
209; 7–9 лет ; Эмоциональная, когнитивная ; Карточки оттенков эмоций ; Научить ребёнка различать похожие чувства (страх/испуг/ужас, радость/восторг и т.п.) ; Ребенок сопоставляет слова?оттенки эмоций с ситуациями и силой переживания ;" 1. Подготовьте карточки с похожими эмоциями (страх, испуг, ужас; радость, довольство, восторг). 2. Придумайте или возьмите готовые ситуации. 3. Попросите выбрать, какое слово лучше подходит к каждой ситуации. 4. Обсудите, чем отличаются оттенки. "; Родитель–ребенок ; «Когда ты скорее “доволен”, а когда прямо “в восторге”?», «Когда тебе просто “страшно”, а когда “ужасно страшно”?» ;" Не спорить жёстко; признавать субъективность переживаний; не высмеивать «слишком сильные» формулировки. ";" Спокойная беседа; 5–10 карточек за раз; можно делать вместе свою мини?колоду. "; Упражнение «Карточки с эмоциями, оттенками эмоций» — адаптация ; Психологи ; 2020–2024 ; Описание упражнений на тонкое различение эмоций[web:64][web:104];"Не обсуждайте после игры его ответы в шутливой форме с другими людьми, если ребёнок рядом; это может обесценивать его откровенность";;;
210; 7–9 лет ; Творческая, эмоциональная ; Волшебные мешочки ; Снимать психоэмоциональное напряжение, учить «откладывать» тяжёлые эмоции ; Ребенок символически складывает в один мешочек неприятные чувства, а в другой — ресурсы и радости ; 1. Возьмите два маленьких мешочка/коробочки. 2. Скажите, что в первый можно «положить» (нарисовать/записать на бумажке) злость, обиду, страх. 3. Во второй пусть складывает радость, поддержку, успехи. 4. В конце можно «встряхнуть» первый мешочек, представить, как эмоции там перемешиваются и становятся меньше, и посмотреть, сколько хорошего во втором. ; Родитель–ребенок ; «Что ты решил положить в первый мешочек?», «Что в мешочке радостей тебе особенно дорого?», «Как тебе ощущать, что у тебя есть оба мешочка?» ;" Не высмеивать то, что он кладёт; не требовать «меньше плохого, больше хорошего»; не вскрывать без разрешения его записки. ";" Нужны два мешочка/контейнера и бумажки; лучше делать периодически (раз в неделю); объяснить, что чувства можно складывать и пересматривать. "; Игра «Волшебные мешочки» — адаптация ; Педагоги?психологи ; 2020–2024 ; Картотеки игр для эмоциональной разгрузки[web:105][web:65];В конце спросите ребёнка, что он берёт с собой из этой игры, и поддержите даже самые маленькие осознанные выводы;;;
211; 7–9 лет ; Эмоциональная, когнитивная ; Мой внутренний светофор ; Учить ребёнка отслеживать силу эмоций и выбирать действия ; Ребенок связывает свои эмоции с цветами светофора и придумывает варианты поведения на каждом «свете» ; 1. Нарисуйте светофор (зелёный, жёлтый, красный круг). 2. Спросите, какие эмоции у него на зелёном (спокойно), жёлтом (начинаю злиться/волноваться), красном (очень сильно). 3. Попросите придумать по 2–3 действия, которые ему помогают на каждом «цвете». 4. Запишите или нарисуйте их рядом. ; Родитель–ребенок ; «Когда у тебя чаще зелёный/жёлтый/красный?», «Что из придуманных действий реально помогает?» ;" Не стыдить за «красный»; не превращать светофор в контроль («у тебя сейчас красный, прекрати»); относиться к нему как к подсказке. ";" Спокойное время; бумага и фломастеры; можно повесить светофор на видное место. "; Игры и упражнения для развития эмоционального самоконтроля (метафора светофора) — адаптация ; Психологи ; 2021–2025 ; Материалы по ЭИ и саморегуляции[web:25][web:104];Объясните ребёнку, что он может пробовать разные варианты и менять своё решение по ходу игры — это не «каприз», а часть обучения;;;
212; 7–9 лет ; Коммуникативная ; Волшебный телефон ; Развивать навык говорить о чувствах и просить о поддержке ; Ребенок «звонит» по игрушечному телефону и рассказывает о своих переживаниях, взрослый отвечает поддерживающе ; 1. Возьмите игрушечный или воображаемый телефон. 2. Предложите ребёнку «позвонить» вам и рассказать про один радостный и один сложный момент дня. 3. Отвечайте короткими поддерживающими фразами («я понимаю», «я с тобой», «это правда непросто»). 4. Потом можно поменяться ролями. ; Родитель–ребенок ; «Как тебе говорить по “телефону”, легче, чем просто так?», «Какие слова поддержки ты хотел бы слышать чаще?» ;" Не превращать разговор в допрос; не давать сразу советы, сначала выслушать; не обесценивать («ерунда»). ";" Спокойный вечер; можно сделать «специальный» телефон для таких разговоров; объяснить, что здесь можно говорить честно. "; Игры для эмоционального развития и доверия (адаптация формата телефонных разговоров) ; Психологи, педагоги ; 2021–2024 ; Обзоры игр для эмоционального контакта[web:23][web:25];"Не давите на ребёнка, чтобы он сразу делился личными примерами; подойдут и истории про одноклассников или придуманных персонажей";;;
213; 7–9 лет ; Творческая, эмоциональная ; Дневник супергероя ; Поддерживать самооценку и осознанность своих сильных сторон ; Ребенок ведёт простой «дневник супергероя», где отмечает свои маленькие подвиги и используемые «силы» ; 1. Выберите тетрадь и назовите её «Дневник супергероя (имя ребёнка)». 2. Объясните, что сюда записываются любые маленькие поступки, где он проявил смелость, доброту, настойчивость. 3. Вечером предложите назвать 1–2 «подвига» дня и какую «силу» он использовал. 4. Иногда перечитывайте вместе. ; Родитель–ребенок ; «Какая твоя суперсила проявлялась чаще всего на этой неделе?», «Какой подвиг тебе особенно важен?» ;" Не придумывать подвиги за него; не оценивать («это мелочь»); не использовать дневник, чтобы стыдить («сегодня пусто, значит, ничего не сделал»). ";" Небольшая тетрадь; спокойное время вечером; объяснить, что суперсилы могут быть очень разными (терпение, дружелюбие, честность). "; Игры и техники для развития эмоциональной устойчивости (адаптация идеи дневника успеха) ; Психологи ; 2021–2025 ; Статьи о формировании жизнестойкости[web:23][web:105];"При обсуждении сложных ситуаций не используйте ярлыки («жадный», «ленивый»); говорите о конкретных поступках и их последствиях";;;
214; 7–9 лет ; Подвижная, эмоциональная ; Вулкан и ледник ; Помочь ребёнку проживать злость через движение и переключение ; Ребенок по очереди изображает «вулкан» (напряжение, выброс) и «ледник» (замедление, охлаждение) ; 1. Объясните метафору: злость как вулкан, спокойствие как ледник. 2. Попросите показать вулкан — напрячь тело, подпрыгнуть, топнуть (в безопасных пределах). 3. Затем показать ледник — медленные движения, глубокое дыхание, «тающий» корпус. 4. Несколько раз чередуйте, обсуждая ощущения. ; Родитель–ребенок ; «Как тебе было в роли вулкана?», «А в роли ледника?», «Какие движения помогают тебе остыть в реальной ссоре?» ;" Следить за безопасностью (не бить, не бросать предметы); не высмеивать сильные движения; потихоньку увеличивать часть с «ледником». ";" Достаточно места; мягкая поверхность; лучше использовать, когда ребёнок уже немного успокоился. "; Телесно?ориентированные игры для эмоциональной саморегуляции (адаптация) ; Психологи ; 2020–2024 ; Описания игр для работы со злостью[web:36][web:30];Если ребёнок рассказывает о конфликтах в классе, не требуйте называть фамилии и не обсуждайте других детей в негативном ключе;;;
215; 7–9 лет ; Эмоциональная, когнитивная ; Если бы эмоция была… ; Расширять эмоциональный словарь через метафоры ; Ребенок придумывает образ для эмоции (цвет, звук, еда, транспорт) и рассказывает, почему ; 1. Возьмите одну эмоцию (например, страх). 2. Спросите: «Если бы страх был цветом/звуком/животным/машиной, каким бы он был?» 3. Записывайте ответы, потом переходите к другим эмоциям. 4. Обсудите, чем отличаются такие образы у разных чувств. ; Родитель–ребенок, группа ; «Какой образ радости тебе нравится больше всего?», «Какое “животное злости” у тебя внутри?» ;" Не оценивать метафоры как «странные»; не навязывать свои; позволять пересматривать ответы со временем. ";" Спокойный разговор; можно рисовать выбранные образы; лучше ограничиться 2–3 эмоциями за раз. "; Игры для развития эмоционального интеллекта через метафоры — адаптация ; Психологи, развивающие центры ; 2022–2025 ; Подборки игр с образами эмоций[web:64][web:25];"Важно, чтобы ребёнок чувствовал, что его не осудят за честный ответ; избегайте фраз «как тебе не стыдно так думать»";;;
216; 7–9 лет ; Коммуникативная ; Я?сообщения ; Учить ребёнка говорить о своих чувствах без обвинений ; Ребенок тренируется говорить фразы в формате «Я?сообщения», описывая свои эмоции и потребности ; 1. Объясните разницу: «Ты плохой» vs «Я злюсь, когда…». 2. Дайте шаблон: «Я чувствую… когда… и я хочу…». 3. Предложите несколько ситуаций (друг не отдаёт игрушку, мама кричит, младший мешает). 4. Вместе придумайте по одной?две фразы для каждой. ; Родитель–ребенок ; «Как тебе говорить так, без “ты виноват”?», «В какой ситуации ты хотел бы попробовать Я?сообщение?» ;" Не заставлять использовать Я?сообщения прямо в конфликте, пока он не готов; самому взрослому тоже практиковать их; не высмеивать неуклюжие формулировки. ";" Спокойное время, не во время ссоры; можно записать удачные фразы в тетрадь; объяснить, что это способ быть услышанным. "; Игры и упражнения для коррекции трудностей общения у младших школьников (адаптация) ; Школьные психологи ; 2020–2024 ; Сборники игр по общению[web:71][web:109];Если игра затрагивает тему правил и границ, формулируйте их вместе, а не только «сверху» взрослого;;;
217; 7–9 лет ; Творческая, эмоциональная ; Коробка побед ; Формировать привычку замечать свои достижения и радоваться им ; Ребенок записывает свои маленькие победы на бумажках и складывает в коробку, периодически их перечитывая ; 1. Найдите красивую коробку и назовите её «Коробка побед». 2. Каждый день или раз в несколько дней предложите записать одну маленькую победу (что получилось, чем гордится). 3. Складывайте записки в коробку. 4. Раз в неделю/месяц открывайте и читайте несколько вслух. ; Родитель–ребенок ; «Какая победа из коробки тебе особенно запомнилась?», «Легко ли находить хотя бы что?то одно?» ;" Не навязывать свои варианты; не сравнивать с другими детьми; не использовать отсутствие записок, чтобы стыдить. ";" Небольшая коробка, бумага; спокойное время; объяснить, что победы могут быть совсем маленькими (доделал дело, удержался от крика). "; Игры и приёмы для развития эмоционально?волевой сферы (адаптация идеи «банки достижений») ; Психологи ; 2020–2024 ; Публикации о развитии волевой сферы[web:105];"Не превращайте игру в спор, кто прав; признавайте, что у взрослых и детей могут быть разные взгляды";;;
218; 7–9 лет ; Подвижная, эмоциональная ; Переключатель скоростей ; Развивать произвольность: уметь замедляться и ускоряться по сигналу ; Ребенок двигается с разной «скоростью» по команде (черепаха, пешеход, поезд, ракета) ; 1. Придумайте 3–4 уровня скорости и соответствующих героев. 2. При движении по комнате подавайте команды («черепаха» — очень медленно, «поезд» — шаги, «ракета» — бег/прыжки). 3. Иногда неожиданно меняйте скорость. 4. В конце спросите, какая скорость самая приятная. ; Родитель–ребенок, группа ; «Труднее переключаться с быстрой на медленную или наоборот?», «Когда в жизни тебе нужны “черепаха” и “пешеход”?» ;" Следить за безопасностью; не затягивать; не превращать в соревнование на скорость. ";" Достаточно места; лучше использовать, когда ребёнку сложно «остановиться» после активностей. "; Игры для развития саморегуляции и контроля поведения (адаптация) ; Психологи, педагоги ; 2020–2024 ; Обзоры игр на самоконтроль[web:83][web:91];Если ребёнок замыкается, предложите перейти на более лёгкую часть игры или сделать паузу, а не добивайтесь продолжения;;;
219; 7–9 лет ; Эмоциональная, когнитивная ; Газета чувств ; Помочь ребёнку структурировать эмоции за день через «новости» ; Ребенок создаёт «страницу газеты» с заголовками про события и чувства дня ; 1. Разделите лист на 3–4 «колонки». 2. Предложите придумать заголовки: «Главная радостная новость», «Главная трудность дня», «Маленькое чудо дня», «Что меня удивило». 3. Пусть нарисует или кратко опишет для каждой колонки событие и чувство. 4. Обсудите «выпуск газеты». ; Родитель–ребенок ; «Какой заголовок тебе нравится больше всего?», «Что ты хочешь, чтобы завтра попало в твою газету?» ;" Не исправлять стиль; не высмеивать «глупые новости»; не использовать газету для нотаций. ";" Бумага и ручка/фломастеры; лучше вечером; можно делать не каждый день, а раз в несколько дней. "; Эмоциональные игры для младших школьников (адаптация идей «газеты чувств») ; Психологи ; 2021–2025 ; Подборки игр на ЭИ[web:25][web:104];Не используйте сказанное ребёнком в игре, чтобы позже упрекать его в обычной жизни («ты же сам говорил…»);;;
220; 7–9 лет ; Творческая, эмоциональная ; Остров спокойствия ; Формировать внутренний образ безопасного места, куда можно «уходить» мысленно ; Ребенок придумывает и рисует свой «остров спокойствия», описывает, что на нём помогает ему отдыхать ; 1. Объясните, что у каждого внутри может быть «место спокойствия». 2. Попросите придумать остров (или комнату, лес, планету), где ему хорошо и безопасно. 3. Пусть нарисует это место и подпишет важные детали (домик, дерево, кот, море). 4. Научите мысленно «перемещаться» туда, когда тревожно. ; Родитель–ребенок ; «Что на твоём острове самое важное?», «Когда ты хочешь туда отправляться мысленно?», «Кого ты возьмёшь с собой?» ;" Не критиковать содержание острова; не вторгаться, если ребёнок не хочет делиться всеми деталями; не использовать образ для давления («иди на остров и успокойся»). ";" Бумага и материалы для рисования; тихое время; можно хранить рисунок рядом с кроватью. "; Арт?терапевтическое упражнение «мой остров» (адаптация под 7–9 лет) ; Арт?терапевты ; 2023–2024 ; Описания упражнений с «островом» и «путём»[web:40][web:108];Завершая игру, спросите, чем она была полезна ребёнку, и поделитесь, что нового вы сами о нём узнали;;;
221; 7–9 лет ; Эмоциональная, когнитивная ; Дневник сердца ; Помочь ребёнку осознавать свои чувства и вести простой эмоциональный дневник ; Ребенок заполняет шаблон из нескольких вопросов о чувствах за день ; 1. Возьмите тетрадь и разделите страницу на 3–4 зоны: «Сегодня я радовался, когда…», «Мне было трудно, когда…», «Я горжусь собой, потому что…». 2. Вечером предложите ребёнку заполнить 1–2 строки в каждой зоне (можно рисунком или словами). 3. Прочитайте вместе, задайте пару мягких вопросов. 4. Раз в неделю листайте дневник и отмечайте, что меняется. ; Родитель–ребенок ; «Какой пункт тебе заполнять приятнее всего?», «Как ты думаешь, зачем заметать такие моменты?» ;" Не исправлять формулировки; не использовать записи для нотаций; уважать право ребёнка иногда не заполнять дневник. ";" Небольшая тетрадь; спокойное вечернее время; объяснить, что это «дневник сердца», а не школьная тетрадь. "; Идея игры «Дневник моего сердца» — адаптация ; Психологи, развивающие центры ; 2023–2025 ; Описание игр для эмоционального развития[web:25];"Если ребёнок рассказывает о сложных ситуациях, не перебивайте его уточняющими вопросами; сначала дайте выговориться, потом задавайте мягкие вопросы";;;
222; 7–9 лет ; Коммуникативная, эмоциональная ; Цветок дружбы ; Развивать навыки дружбы, осознанность в отношениях ; Ребенок создаёт «цветок дружбы», подписывая на лепестках качества хорошего друга и свои сильные стороны ; 1. Нарисуйте или вырежьте из бумаги цветок с серединкой и лепестками. 2. В середине напишите «дружба». 3. На лепестках по очереди вписывайте вместе с ребёнком качества хорошего друга (слушает, не обзывает, делится, умеет мириться) и то, что он уже умеет из этого. 4. Обсудите, что ему хотелось бы развивать. ; Родитель–ребенок, группа ; «Какие качества друга для тебя самые важные?», «Что из этого уже есть у тебя, а чему ты хочешь научиться?» ;" Не сравнивать с другими детьми; не превращать в список «как ты должен себя вести»; подчеркивать уже имеющиеся сильные стороны. ";" Бумага, ножницы, фломастеры; спокойное время; можно повесить цветок в комнате. "; Игра «Цветок дружбы» — адаптация ; Психологи, педагоги ; 2022–2025 ; Описание игр для эмоционального развития и общения[web:25][web:71];"Не используйте в разговоре сравнения с другими детьми («а вот твоя сестра…»); говорите только о самом ребёнке";;;
223; 7–9 лет ; Творческая, эмоциональная ; Цветок настроения ; Снимать напряжение и обозначать своё состояние в группе/семье ; Ребенок раскрашивает лепестки цветка в цвета разных чувств и отмечает, какое чувство у него сейчас ; 1. Нарисуйте большой цветок с несколькими лепестками. 2. Каждому лепестку присвойте эмоцию (радость, злость, страх, грусть, интерес, усталость) и цвет. 3. Попросите ребёнка раскрасить, какой лепесток сегодня «главный». 4. Обсудите, что можно сделать, если «ведущая» эмоция тяжёлая. ; Родитель–ребенок, группа ; «Какой лепесток у тебя чаще всего главный?», «Каких лепестков ты хотел бы побольше/поменьше?» ;" Не осуждать за выбор «негативных» эмоций; не требовать всегда радости; использовать как мягкий способ начать разговор. ";" Бумага и фломастеры; можно повторять раз в несколько дней; объяснить, что все лепестки важны и имеют право быть. "; Арт?упражнение «Цветок» — адаптация под эмоции ; Арт?терапевты ; 2019–2024 ; Материалы по простым арт?упражнениям[web:113][web:107];Если тема игры задевает самооценку, аккуратно отмечайте сильные стороны ребёнка и реальные примеры, когда у него что?то получалось;;;
224; 7–9 лет ; Подвижная, эмоциональная ; Злой мяч ; Дать безопасный выход злости и напряжения ; Ребенок «вкладывает» злость в мяч и выплёскивает её через броски/удары о мягкую поверхность ; 1. Возьмите мягкий мяч. 2. Скажите: «Представь, что это шар твоей злости». 3. Предложите бросать или стучать мячом о пол/стену (безопасно), представляя, как злость выходит. 4. В конце спросите, что изменилось в теле и внутри. ; Родитель–ребенок ; «Что ты представлял, когда бросал мяч?», «Стало ли легче в руках/груди/животе?» ;" Следить за безопасностью (не бросать в людей, окна, мебель); не ругать за силу броска в рамках правил; закончить на спокойной ноте (потягивание, дыхание). ";" Просторное место, мягкий мяч, крепкая поверхность; лучше использовать, когда злость уже не на пике, а «горит углями». "; Игры для эмоциональной разгрузки детей — адаптация ; Психологи ; 2020–2024 ; Картотеки игр на выражение агрессии без вреда[web:36][web:105];"Не давите на ребёнка, чтобы он сразу согласился с вашим взрослым выводом; оставляйте за ним право думать иначе";;;
225; 7–9 лет ; Эмоциональная, когнитивная ; А я так не думаю ; Развивать умение видеть разные точки зрения и защищать своё мнение ; Ребенок учится вежливо высказывать несогласие и аргументировать ; 1. Приведите простое утверждение («Все мультики полезны», «В футбол играют только мальчики»). 2. Предложите ребёнку сказать: «А я так не думаю» и объяснить, почему. 3. Поменяйтесь ролями: теперь он придумывает спорное утверждение для вас. 4. Обсудите, как можно не соглашаться, не обижая другого. ; Родитель–ребенок, группа ; «Как тебе говорить “А я так не думаю” взрослому/другу?», «Что помогает делать это без ссоры?» ;" Не высмеивать его аргументы; не использовать игру, чтобы навязать свои взгляды; показать, что разные мнения допустимы. ";" Спокойная беседа; брать темы, не затрагивающие слишком болезненные убеждения; объяснить, что это тренировка безопасного несогласия. "; Игра «А я так не думаю» — адаптация ; Психологи ; 2021–2025 ; Подборка игр для эмоциональной силы детей[web:23];При обсуждении ошибок важно разделять: «ошибка в действии» и «ты хороший человек, который иногда ошибается»;;;
226; 7–9 лет ; Коммуникативная ; Бумеранг ; Осознать, как возвращаются сказанные слова и действия ; Ребенок проигрывает ситуации, где «бумеранг» возвращает ему его же слова/поступки ; 1. Объясните метафору бумеранга: что мы «кидаем» людям, часто возвращается. 2. Придумайте маленькую сценку: ребёнок говорил грубо/поддерживающе. 3. Попросите показать, как бумеранг вернулся бы к нему в каждом случае. 4. Обсудите, какие «бумеранги» ему хочется запускать. ; Родитель–ребенок, группа ; «Какой “бумеранг” ты чаще бросаешь — добрый или колючий?», «Какие слова ты хочешь получать в ответ?» ;" Не использовать как угрозу («вернётся сторицей»); не стыдить за прошлые ошибки; фокус на выборе в будущем. ";" Можно использовать мягкий предмет как «бумеранг»; короткие сценки; объяснить, что это образ, а не магия. "; Игра «Бумеранг» — адаптация ; Психологи ; 2021–2025 ; Описание игр для развития ответственности за слова[web:23];Если ребёнок шутит или уходит в фантазию, проверьте, не стало ли ему тревожно, и при необходимости переведите игру в более лёгкий формат;;;
227; 7–9 лет ; Творческая, эмоциональная ; Воздушный шарик ; Обучать ребёнка отпускать напряжение через дыхание и образ ; Ребенок представляет, что с выдохом надувает шарик своей злости/страха, затем отпускает его ; 1. Попросите представить воздушный шарик в руках или взять настоящий. 2. На вдохе пусть «собирает» напряжение, на выдохе — «надувает» шарик (дуть в воображаемый или настоящий шар). 3. Когда шарик «полный», предложите мысленно отпустить его в небо или сдуть. 4. Обсудите, что изменилось в теле. ; Родитель–ребенок ; «Какие чувства ты складывал в шарик?», «Что с ними стало, когда шар улетел/сдулся?» ;" Не заставлять дуть сильно (контроль головокружения); при использовании настоящего шарика — следить за безопасностью; не обесценивать тяжёлые чувства. ";" Тихое место; можно без реального шарика, только с воображением; объяснить, что часть напряжения можно «отпускать». "; Игра «Воздушный шарик» — адаптация ; Психологи ; 2021–2025 ; Подборка игр для эмоциональной разгрузки[web:23][web:68];"Не просите ребёнка выбирать между близкими людьми «кто лучше»; это может ставить его в внутренний конфликт";;;
